CandyName,Total_Joy,Total_Meh,Total_Despair,NoResponse,TOTAL,Percent_Joy,Percent_Meh,Percent_Despair
Reese’s Peanut Butter Cups,1498,188,95,679,2460,0.608943089,0.076422764,0.038617886
Kit Kat,1447,287,52,674,2460,0.588211382,0.116666667,0.021138211
Twix,1413,286,71,690,2460,0.574390244,0.116260163,0.028861789
Snickers,1399,292,79,690,2460,0.568699187,0.118699187,0.032113821
Peanut M&M’s,1291,377,121,671,2460,0.524796748,0.153252033,0.049186992
Nestle Crunch,1188,472,102,698,2460,0.482926829,0.191869919,0.041463415
Milky Way,1185,485,102,688,2460,0.481707317,0.197154472,0.041463415
Butterfinger,1177,460,141,682,2460,0.478455285,0.18699187,0.057317073
Rolos,1151,455,140,714,2460,0.467886179,0.18495935,0.056910569
Reese's Pieces,1136,465,168,691,2460,0.461788618,0.18902439,0.068292683
Regular M&Ms,1122,588,75,675,2460,0.456097561,0.23902439,0.030487805
Hershey's Special Dark ,1105,507,175,673,2460,0.449186992,0.206097561,0.071138211
3 Musketeers,1058,518,176,708,2460,0.430081301,0.210569106,0.071544715
Junior Mints,1020,496,246,698,2460,0.414634146,0.201626016,0.1
Hershey’s Milk Chocolate,896,667,225,672,2460,0.364227642,0.271138211,0.091463415
Milk Duds,878,639,250,693,2460,0.356910569,0.259756098,0.101626016
100 Grand Bar,873,755,85,747,2460,0.354878049,0.306910569,0.034552846
Mr. Goodbar,857,643,220,740,2460,0.348373984,0.261382114,0.089430894
Starburst,853,615,299,693,2460,0.346747967,0.25,0.121544715
Hershey's Kisses,834,726,222,678,2460,0.33902439,0.295121951,0.090243902
Skittles,829,604,321,706,2460,0.33699187,0.245528455,0.130487805
Sour Patch Kids,770,441,511,738,2460,0.31300813,0.179268293,0.207723577
Nerds,769,609,359,723,2460,0.312601626,0.247560976,0.145934959
Swedish Fish,754,542,449,715,2460,0.306504065,0.220325203,0.182520325
Smarties,729,581,425,725,2460,0.296341463,0.236178862,0.172764228
Lemon Heads,670,690,370,730,2460,0.272357724,0.280487805,0.150406504
Pixie Sticks,543,649,546,722,2460,0.220731707,0.263821138,0.22195122
Mike and Ike,534,647,550,729,2460,0.217073171,0.26300813,0.223577236
Laffy Taffy,450,729,545,736,2460,0.182926829,0.296341463,0.221544715
Dots,410,657,664,729,2460,0.166666667,0.267073171,0.269918699
Now & Later,361,725,557,817,2460,0.146747967,0.294715447,0.226422764
Chiclets,244,744,761,711,2460,0.099186992,0.302439024,0.309349593
